nsites,nelements,volume,density,density_atomic
12,2,374.8410941,4.899883678,31.23675784
16,2,887.4182124,4.413745831,55.46363827
44,5,563.510905,4.373468794,12.80706602
64,4,1246.223162,2.132710302,19.47223691
12,4,203.398809,6.9438794,16.94990075
56,4,1491.39006,3.208695721,26.63196536
20,5,303.9254317,7.430957634,15.19627159
29,4,602.2551048,6.109398586,20.76741741
16,2,412.4108209,7.671900277,25.77567631
16,4,303.1549676,3.371334784,18.94718548
192,4,3355.721426,2.672260536,17.47771576
16,3,297.0396248,7.521434731,18.56497655
40,5,956.9430952,5.455639434,23.92357738
24,3,411.8616046,2.484185149,17.16090019
4,3,61.17684465,11.16354932,15.29421116
88,4,1018.014084,1.945892538,11.56834186
12,3,254.7628981,6.101951351,21.23024151
34,5,289.4119927,2.403818529,8.512117432
24,4,422.868699,3.227626342,17.61952912
24,5,346.4665601,6.013939203,14.43610667
40,3,1139.769011,3.972991295,28.49422528
6,2,177.5977926,7.037285043,29.5996321
10,4,162.397092,7.115090268,16.2397092
22,3,324.1387402,4.069066276,14.7335791
45,6,616.9225867,4.64795296,13.70939082
24,4,521.3593752,4.603791084,21.7233073
30,4,943.5448219,5.485783129,31.45149406
56,5,742.8926674,3.942678605,13.26594049
32,6,423.1117282,5.538286857,13.22224151
12,3,140.6796419,11.1478761,11.72330349
60,4,1680.170654,4.40312816,28.00284424
4,3,93.03136009,6.933876384,23.25784002
12,3,189.9695224,8.052992251,15.83079353
108,4,1480.168374,3.326509863,13.70526273
4,3,79.67503549,8.401980051,19.91875887
20,4,243.5251112,6.594105597,12.17625556
24,2,205.1742201,8.643211899,8.548925838
35,3,657.059189,5.447893569,18.77311969
12,3,166.9359607,4.083693616,13.91133006
9,4,239.4787804,4.415555207,26.60875338
9,3,141.5515367,3.606036994,15.72794852
61,3,872.8921948,3.271540495,14.30970811
30,3,465.6916249,7.575043353,15.52305416
63,3,1011.04947,1.783738681,16.04840428
14,3,274.5911562,3.784407569,19.61365401
16,3,272.5464369,5.008237116,17.0341523
2,2,66.6848236,9.369864174,33.3424118
44,4,531.8742457,3.408712837,12.08805104
28,3,555.4519754,14.49250084,19.83757055
116,6,1302.751554,1.768022974,11.23061685
4,3,61.39121734,5.998566084,15.34780433
8,2,107.7098752,3.814989247,13.4637344
3,2,37.93351675,5.733373236,12.64450558
22,4,412.9466808,4.291903452,18.77030367
52,4,806.0009985,4.132089772,15.5000192
10,4,120.1150161,6.77535875,12.01150161
42,2,901.5874249,9.765332532,21.46636726
100,5,2797.350512,2.548116896,27.97350512
12,2,269.1524436,2.206967486,22.4293703
10,4,349.4405724,3.555778221,34.94405724
5,2,90.39749451,14.9681873,18.0794989
36,4,531.1748981,3.375041637,14.75485828
8,3,120.2144057,7.19596142,15.02680071
22,3,324.4638353,2.452504199,14.74835615
4,2,129.6855877,9.59301562,32.42139693
28,4,248.1415617,3.802456828,8.862198631
152,4,1930.533709,2.794177843,12.70087966
22,3,436.1472412,3.020427635,19.8248746
26,3,337.9591893,4.040278222,12.99843036
